Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Visibilidad
setx4-individuales-cuerina-40x28cm-gris-oscuro-13l1s;Setx4 Individuales Cuerina 40x28cm gris oscuro;COCINA > INDIVIDUALES;;;;;;;8,000.00;;0.02;10.00;10.00;1.00;2;;;SI;NO;"<p><strong>Caracter&iacute;sticas Principales:</strong></p>
<p>Cantidad: 4 individuales.</p>
<p>Medidas: 40 x 28 cm.</p>
<p>Material: S&iacute;mil cuerina texturada</p>
<p>Color: Gris oscuro &nbsp;</p>
<p>&nbsp;</p>
<p><strong>&nbsp;Beneficios:</strong></p>
<p>Protecci&oacute;n para tu mesa contra manchas y rayaduras.</p>
<p>Durabilidad gracias a su material resistente y de calidad.</p>
<p>F&aacute;cil limpieza, ideal para el uso diario.</p>";cuerina, DELUAR, durabilidad, individuales, protección;;;DELUAR;SI;;;;;Visible
cubre-sommier-600hq-oxford-soft-gris-1ou4m;Cubre Sommier 600HQ Oxford SOFT GRIS;DORMITORIO > SABANAS Y AJUSTABLES;Tamaño;TWIN;;;;;22,900.00;;0.20;30.00;20.00;2.00;2;;;SI;NO;"<p>El <strong>Cubre Sommier 600HQ Oxford SOFT</strong> es la soluci&oacute;n perfecta para proteger y mantener tu sommier en &oacute;ptimas condiciones.</p>
<p>Disponible en diferentes medidas para ajustarse a colchones de</p>
<p><em>-1 1/2 plaza</em> (90x190x35 cm)</p>
<p><em>-2 1/2 plazas/QUEEN</em> (155x190x35 cm)&nbsp;</p>
<p><em>-King</em> (185x190x35 cm)</p>
<p>Confeccionado en tejido Oxford de alta calidad, ofrece suavidad y resistencia. Eleg&iacute; entre los colores blanco o natural, ideal para combinar con cualquier estilo de dormitorio.</p>";;;;;SI;;;;;Visible
cubre-sommier-600hq-oxford-soft-gris-1ou4m;;;Tamaño;FULL (Queen/2 plazas);;;;;24,900.00;;0.20;30.00;20.00;2.00;3;;;;;;;;;;;;;;;
cubre-sommier-600hq-oxford-soft-gris-1ou4m;;;Tamaño;KING;;;;;28,900.00;;0.20;30.00;20.00;2.00;3;;;;;;;;;;;;;;;
cortina-cwr1a;Cortina de baño LUXURY + 12 ganchos metalicos;BAÑO > CORTINAS ;;;;;;;24,900.00;;0.10;2.00;15.00;15.00;2;;;SI;NO;"<p>Cortina de Ba&ntilde;o lavable Antihongos y Antiest&aacute;tica y set de 12 ganchos rollers met&aacute;licos. Con el efecto que el glitter ofrece te renuevas con un dise&ntilde;o fuera de lo convencional pero manteniendo la l&iacute;nea de color que eliges para tu ba&ntilde;o.</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas de la cortina</p>
<p>&bull; Dise&ntilde;o Luxury Silver</p>
<p>&bull; Cortina Teflonada</p>
<p>&bull; Cabezal con 12 ojales</p>
<p>&bull; Dise&ntilde;o con glitter efecto brillo</p>
<p>&bull; Medidas: 1.80 x 1.80 mts</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas</p>
<p>&bull; Proceso Antihongos</p>
<p>&bull; Proceso Antiest&aacute;tico</p>
<p>&bull; Espesor 70 micrones</p>
<p>&bull; Cabezal reforzado con doble costura</p>
<p>&bull; 12 ojalillos</p>
<p>&bull; 100% Poli&eacute;ster</p>
<p>&bull; Medidas: 1.80 x 1.80 mts</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas de los ganchos</p>
<p>&bull; Set de 12 unidades</p>
<p>&bull; Roller acero inoxidable</p>
<p>&bull; Se traban al colocarlos (como si fueran argollas)</p>
<p>&bull; Siempre podr&aacute;s tener la cortina perfectamente enganchada, no se superponen ni sueltan como los ganchos convencionales</p>
<p>&bull; Presentaci&oacute;n en pack de pvc que los protege.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";;;;;SI;;;;;Visible
cortina-1gbhk;Juego cortina VOILE blanco y natural;LIVING > CORTINA DE AMBIENTE;Color;Blanco;;;;;54,900.00;;0.20;2.00;15.00;15.00;2;;;SI;NO;"<p>Juego de Cortinas ideales para quienes buscan elegancia y ligereza. Estas cortinas de voile cuentan con cinta fruncidora, lo que permite un ajuste f&aacute;cil y un acabado suave y delicado.</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas principales:</p>
<p>Medidas: 295 x 205 cm cada pa&ntilde;o</p>
<p>Composici&oacute;n:Microfibra Premium.</p>
<p>&nbsp;</p>
<p>Beneficios del producto:</p>
<p>Aporta luminosidad, dejando pasar la luz con suavidad sin perder privacidad.</p>
<p>Tela liviana y elegante, ideal para living, comedor o dormitorio.</p>
<p>F&aacute;cil colocaci&oacute;n, gracias a su cinta fruncidora adaptable.</p>
<p>Ca&iacute;da natural, mejora la est&eacute;tica del ambiente y suma amplitud visual.</p>
<p>&nbsp;</p>
<p>Eleg&iacute; las Cortinas Voile y transform&aacute; tus ambientes con un toque de elegancia, ligereza y calidad premium. &iexcl;Hac&eacute; tu hogar m&aacute;s c&aacute;lido, luminoso y acogedor!</p>
<p>&nbsp;</p>
<p><strong>Importante</strong>: Cada juego incluye 2 pa&ntilde;os. Las medidas publicadas corresponden a cada uno, por lo que el ancho total ser&aacute; aproximadamente el doble.</p>
<p>&nbsp;</p>
<p>Para elegir la medida ideal, compara el ancho total con tu ventana o barral y considera el fruncido que quieres lograr, ya que influye en c&oacute;mo se ver&aacute; la cortina instalada.</p>";;;;;SI;;;;0.00;Visible
cortina-1gbhk;;;Color;Natural;;;;;54,900.00;;0.20;2.00;15.00;15.00;1;;;;;;;;;;;;;;0.00;
alfombra-177ib;Alfombra de baño TILE 60x40cm;BAÑO > ALFOMBRAS PARA BAÑO;Color;Negro;;;;;10,500.00;;0.05;1.00;15.00;20.00;3;;;SI;NO;"<p>Sum&aacute; estilo y seguridad a tu ba&ntilde;o con esta alfombra, ideal para mantener confort en cada detalle de tu hogar</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas Principales:</p>
<p>Medidas: 40 x 60 cm</p>
<p>Composici&oacute;n:&nbsp;</p>
<p>Frente: Poli&eacute;ster</p>
<p>Reverso: PVC antideslizante</p>
<p>Uso: ideal para salida de ducha o ba&ntilde;era</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Beneficios del Producto:</p>
<p>M&aacute;ximo confort: el relleno Memory Foam se adapta al pie brindando una sensaci&oacute;n suave y acolchonada.</p>
<p>Mayor seguridad: base de PVC antideslizante que ayuda a mantener la alfombra firme en el piso.</p>
<p>Absorbente y pr&aacute;ctica: ideal para colocar a la salida de la ducha o ba&ntilde;era.</p>
<p>&nbsp;</p>";;;;;SI;;;;0.00;Visible
alfombra-177ib;;;Color;Gris;;;;;10,500.00;;0.05;1.00;15.00;20.00;1;;;;;;;;;;;;;;0.00;
alfombra-177ib;;;Color;Beige;;;;;10,500.00;;0.05;1.00;15.00;20.00;3;;;;;;;;;;;;;;0.00;
